Item,Count
scary,444
worried,289
unsure,159
concerned,151
good,116
robot,103
cautious,99
dangerous,86
nervous,85
wary,84
future,70
apprehensive,67
optimistic,67
excited,66
sceptical,65
indifferent,61
curious,52
confused,51
hopeful,51
intrigued,51
uncertain,45
computer,45
ai,43
interesting,43
uneasy,43
helpful,41
useful,41
intelligence,41
technology,40
suspicious,40
bad,39
anxious,38
innovative,37
interested,36
smart,36
positive,35
artificial,35
fake,31
human,30
think,29
great,28
ok,28
untrustworthy,26
neutral,26
negative,25
new,23
data,22
unknown,22
trust,20
ambivalent,20
