Occupation,Never (not at all),Rarely (a few times a year),Sometimes (a few times a month),Often (a few times a week),Very often (daily)
"Public authorities, senior officials, and managers",41.4,29.8,20.4,5.5,2.8
Professionals,36.8,28.4,22.1,8.3,4.4
Technicians and other mid-level personnel,46.5,28.3,16.0,7.5,1.6
Clerical support workers,44.4,25.4,20.4,7.7,2.1
Service and sales workers,58.2,20.3,17.5,3.4,0.6
"Farmers, gardeners, foresters, and fishers",56.7,26.1,13.4,3.0,0.7
Craft and related trades workers,53.8,26.6,15.8,2.7,1.1
Plant and machine operators and assemblers,54.9,26.4,15.9,2.2,0.5
Elementary occupations,63.2,20.8,13.2,1.4,1.4
